sample_index,inference_result_hex,inference_result_float,latency_cycles,latency_us,start_time_ns,end_time_ns
0,0x3ff0,0.999023,9176,45.880,78,45958
1,0x3ff0,0.999023,9176,45.880,45963,91843
2,0x3ff0,0.999023,9176,45.880,91848,137728
3,0x3ff0,0.999023,9176,45.880,137733,183613
4,0x3ff0,0.999023,9176,45.880,183618,229498
5,0x3ff0,0.999023,9176,45.880,229503,275383
6,0x3ff0,0.999023,9176,45.880,275388,321268
7,0x3ff0,0.999023,9176,45.880,321273,367153
8,0x3ff0,0.999023,9176,45.880,367158,413038
9,0x3ff0,0.999023,9176,45.880,413043,458923
10,0x3ff0,0.999023,9176,45.880,458928,504808
11,0x3ff0,0.999023,9176,45.880,504813,550693
12,0x3ff0,0.999023,9176,45.880,550698,596578
13,0x3ff0,0.999023,9176,45.880,596583,642463
14,0x07a0,0.119141,9176,45.880,642468,688348
15,0x0300,0.046875,9176,45.880,688353,734233
16,0x3ff0,0.999023,9176,45.880,734238,780118
17,0x3ff0,0.999023,9176,45.880,780123,826003
18,0x3ff0,0.999023,9176,45.880,826008,871888
19,0x3ff0,0.999023,9176,45.880,871893,917773
20,0x3ff0,0.999023,9176,45.880,917778,963658
21,0x0a80,0.164062,9176,45.880,963663,1009543
22,0x3ff0,0.999023,9176,45.880,1009548,1055428
23,0x3ff0,0.999023,9176,45.880,1055433,1101313
24,0x00d0,0.012695,9176,45.880,1101318,1147198
25,0x3ff0,0.999023,9176,45.880,1147203,1193083
26,0x3ff0,0.999023,9176,45.880,1193088,1238968
27,0x0490,0.071289,9176,45.880,1238973,1284853
28,0x3ff0,0.999023,9176,45.880,1284858,1330738
29,0x0110,0.016602,9176,45.880,1330743,1376623
30,0x3ff0,0.999023,9176,45.880,1376628,1422508
31,0x0000,0.000000,9176,45.880,1422513,1468393
32,0x3ff0,0.999023,9176,45.880,1468398,1514278
33,0x3ff0,0.999023,9176,45.880,1514283,1560163
34,0x3ff0,0.999023,9176,45.880,1560168,1606048
35,0x3ff0,0.999023,9176,45.880,1606053,1651933
36,0x1c00,0.437500,9176,45.880,1651938,1697818
37,0x3ff0,0.999023,9176,45.880,1697823,1743703
38,0x3ff0,0.999023,9176,45.880,1743708,1789588
39,0x3ff0,0.999023,9176,45.880,1789593,1835473
40,0x3ff0,0.999023,9176,45.880,1835478,1881358
41,0x3ff0,0.999023,9176,45.880,1881363,1927243
42,0x3ff0,0.999023,9176,45.880,1927248,1973128
43,0x3ff0,0.999023,9176,45.880,1973133,2019013
44,0x33b0,0.807617,9176,45.880,2019018,2064898
45,0x3600,0.843750,9176,45.880,2064903,2110783
46,0x3ff0,0.999023,9176,45.880,2110788,2156668
47,0x3ff0,0.999023,9176,45.880,2156673,2202553
48,0x3ff0,0.999023,9176,45.880,2202558,2248438
49,0x3ff0,0.999023,9176,45.880,2248443,2294323
50,0x3ff0,0.999023,9176,45.880,2294328,2340208
51,0x3ff0,0.999023,9176,45.880,2340213,2386093
52,0x3ff0,0.999023,9176,45.880,2386098,2431978
53,0x3ff0,0.999023,9176,45.880,2431983,2477863
54,0x3ff0,0.999023,9176,45.880,2477868,2523748
55,0x3ff0,0.999023,9176,45.880,2523753,2569633
56,0x3ff0,0.999023,9176,45.880,2569638,2615518
57,0x3ff0,0.999023,9176,45.880,2615523,2661403
58,0x3ff0,0.999023,9176,45.880,2661408,2707288
59,0x3ff0,0.999023,9176,45.880,2707293,2753173
60,0x3ff0,0.999023,9176,45.880,2753178,2799058
61,0x3ff0,0.999023,9176,45.880,2799063,2844943
62,0x3ff0,0.999023,9176,45.880,2844948,2890828
63,0x3ff0,0.999023,9176,45.880,2890833,2936713
64,0x3ff0,0.999023,9176,45.880,2936718,2982598
65,0x0300,0.046875,9176,45.880,2982603,3028483
66,0x3ff0,0.999023,9176,45.880,3028488,3074368
67,0x3ff0,0.999023,9176,45.880,3074373,3120253
68,0x3ff0,0.999023,9176,45.880,3120258,3166138
69,0x3ff0,0.999023,9176,45.880,3166143,3212023
70,0x3ff0,0.999023,9176,45.880,3212028,3257908
71,0x3ff0,0.999023,9176,45.880,3257913,3303793
72,0x3ff0,0.999023,9176,45.880,3303798,3349678
73,0x3ff0,0.999023,9176,45.880,3349683,3395563
74,0x1f00,0.484375,9176,45.880,3395568,3441448
75,0x3ff0,0.999023,9176,45.880,3441453,3487333
76,0x3ff0,0.999023,9176,45.880,3487338,3533218
77,0x3ff0,0.999023,9176,45.880,3533223,3579103
78,0x3ff0,0.999023,9176,45.880,3579108,3624988
79,0x3ff0,0.999023,9176,45.880,3624993,3670873
80,0x3ff0,0.999023,9176,45.880,3670878,3716758
81,0x3ff0,0.999023,9176,45.880,3716763,3762643
82,0x3ff0,0.999023,9176,45.880,3762648,3808528
83,0x3ff0,0.999023,9176,45.880,3808533,3854413
84,0x3ff0,0.999023,9176,45.880,3854418,3900298
85,0x3ff0,0.999023,9176,45.880,3900303,3946183
86,0x3cc0,0.949219,9176,45.880,3946188,3992068
87,0x3ff0,0.999023,9176,45.880,3992073,4037953
88,0x3ff0,0.999023,9176,45.880,4037958,4083838
89,0x3ff0,0.999023,9176,45.880,4083843,4129723
90,0x3ff0,0.999023,9176,45.880,4129728,4175608
91,0x3ff0,0.999023,9176,45.880,4175613,4221493
92,0x3ff0,0.999023,9176,45.880,4221498,4267378
93,0x3ff0,0.999023,9176,45.880,4267383,4313263
94,0x3ba0,0.931641,9176,45.880,4313268,4359148
95,0x3fe0,0.998047,9176,45.880,4359153,4405033
96,0x3ff0,0.999023,9176,45.880,4405038,4450918
97,0x3ff0,0.999023,9176,45.880,4450923,4496803
98,0x3ff0,0.999023,9176,45.880,4496808,4542688
99,0x3ff0,0.999023,9176,45.880,4542693,4588573
